volume_number,start_page_label,start_page_index,page_length,macropaedia_contents_name,suggested_propaedia_name,suggested_propaedia_name_occurrence_count,suggested_propaedia_name_match_methods,suggested_propaedia_name_source_pages,suggested_propaedia_name_source_images,alternate_propaedia_names,propaedia_name,propaedia_name_source_image_path,notes
1,778,778,10,ANNELIDS,Annelids,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
1,788,788,17,ANTARCTICA,,,,,,,,,
1,805,805,3,ANTWERP,,,,,,,,,
1,808,808,45,ARABIA,,,,,,,,,
1,853,853,19,ARACHNIDS,Arachnids,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
1,872,872,2,ARCHIMEDES,,,,,,,,,
1,874,874,27,The Art of ARCHITECTURE,,,,,,,,,
1,901,901,,The History of Western ARCHITECTURE,,,,,,,,,
2,1,1,37,The ARCTIC,,,,,,,,,
2,38,38,17,ARGENTINA,,,,,,,,,
2,55,55,17,Aristotle and ARISTOTELIANISM,,,,,,,,,
2,72,72,10,ARITHMETIC,,,,,,,,,
2,82,82,12,ART CONSERVATION AND RESTORATION,,,,,,,,,
2,94,94,14,The History of ART CRITICISM,,,,,,,,,
2,108,108,6,ARTHROPODS,Arthropods,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
2,114,114,8,ARTIFICIAL INTELLIGENCE,,,,,,,,,
2,122,122,6,ASCHELMINTHS,Aschelminths,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
2,128,128,113,ASIA,,,,,,,,,
2,241,241,37,ASIAN PEOPLES AND CULTURES,,,,,,,,,
2,278,278,4,ATATÜRK,,,,,,,,,
2,282,282,7,ATHENS,,,,,,,,,
2,289,289,26,The ATLANTIC OCEAN,,,,,,,,,
2,315,315,24,ATMOSPHERE,Atmosphere,2,direct,74 | 86,propaedia_pages/part_2/propaedia-2010-part-02-photo-05.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,,,,
2,339,339,52,"Atoms: Their Structure, Properties, and Component Particles","Atoms: Their Structure, Properties, and Component Particles",2,direct,22 | 26,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,,,,
2,391,391,6,ATTENTION,,,,,,,,,
2,397,397,5,AUGUSTINE,,,,,,,,,
2,402,402,4,AUGUSTUS,,,,,,,,,
2,406,406,87,AUSTRALIA,,,,,,,,,
2,493,493,8,Literatures of AUSTRALIA AND NEW ZEALAND,,,,,,,,,
2,501,501,38,AUSTRIA,,,,,,,,,
2,539,539,9,AUTOMATA THEORY,,,,,,,,,
2,548,548,10,AUTOMATION,,,,,,,,,
2,558,558,6,BACH,,,,,,,,,
2,564,564,23,Francis BACON,,,,,,,,,
2,587,587,4,BAGHDAD,,,,,,,,,
2,591,591,94,BALKAN STATES,,,,,,,,,
2,685,685,23,BALTIC STATES,,,,,,,,,
2,708,708,3,BANGKOK,,,,,,,,,
2,711,711,10,BANGLADESH,,,,,,,,,
2,721,721,2,BARCELONA,,,,,,,,,
2,723,723,14,BASEBALL,,,,,,,,,
2,737,737,7,BEETHOVEN,,,,,,,,,
2,744,744,85,Animal BEHAVIOUR,"Behaviour, Animal",5,observed_comma_flip,96 | 127 | 130 | 131 | 134,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-16.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,,,,
2,829,829,15,The Development of Human BEHAVIOUR,,,,,,,,,
2,844,844,3,BEIRUT,,,,,,,,,
2,847,847,6,BELARUS,,,,,,,,,
2,853,853,4,BELGIAN LITERATURE,,,,,,,,,
2,857,857,14,BELGIUM,,,,,,,,,
2,871,871,7,BERLIN,,,,,,,,,
2,878,878,20,BEVERAGE PRODUCTION,,,,,,,,,
2,898,898,5,BHUTAN,,,,,,,,,
2,903,903,166,BIBLICAL LITERATUrE and Its Critical Interpretation,,,,,,,,,
2,1069,1069,58,The BIOLOGICAL SCIENCES,"Biological Sciences, The",1,observed_comma_flip,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,,,,
2,1127,1127,,The BIosPHErE and Concepts of Ecology,"Biosphere and Concepts of Ecology, The",2,observed_comma_flip,137 | 138,propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,,,
3,1,1,112,BIRDS,Birds,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
3,113,113,8,BIRTH CONTROL,,,,,,,,,
3,121,121,4,BISMARCK,,,,,,,,,
3,125,125,30,BLOOD,Blood,1,direct,119,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,,,,
3,155,155,2,BOHR,,,,,,,,,
3,157,157,12,BOLIVIA,,,,,,,,,
3,169,169,3,BOMBAY (MUMBAI),,,,,,,,,
3,172,172,5,BOSTON,,,,,,,,,
3,177,177,8,BOXING,,,,,,,,,
3,185,185,25,BRAZIL,,,,,,,,,
3,210,210,37,BROADCASTING,,,,,,,,,
3,247,247,5,BRUSSELS,,,,,,,,,
3,252,252,6,BRYOPHYTES,Bryophytes,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
3,258,258,5,BUDAPEST,,,,,,,,,
3,263,263,43,The Buddha and BUDDHISM,,,,,,,,,
3,306,306,6,BUENOS AIRES,,,,,,,,,
3,312,312,28,BUILDING CONSTRUCTION,,,,,,,,,
3,340,340,26,BUSINESS LAW,,,,,,,,,
3,366,366,11,BUSINESS ORGANIZATION,,,,,,,,,
3,377,377,25,The History of the BYZANTINE EMPIRE,,,,,,,,,
3,402,402,5,CAESAR,,,,,,,,,
3,407,407,5,CAIRO,,,,,,,,,
3,412,412,5,CALCUTTA,,,,,,,,,
3,417,417,18,CALENDAR,Calendar,1,direct,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,,,,
3,435,435,5,Calvin and CALVINISM,,,,,,,,,
3,440,440,74,CANADA,,,,,,,,,
3,514,514,5,CANADIAN LITERATURE,,,,,,,,,
3,519,519,9,CANCER,,,,,,,,,
3,528,528,3,CANTON (GUANGZHOU),,,,,,,,,
3,531,531,4,CAPE TOWN,,,,,,,,,
3,535,535,4,CARACAS,,,,,,,,,
3,539,539,14,"CARICATURE, CARTOON, AND COMIC STRIP",,,,,,,,,
3,553,553,8,Descartes and CARTESIANISM,,,,,,,,,
3,561,561,4,Domestic CATS,"Cats, Domestic",1,observed_comma_flip,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,,,
3,565,565,29,CELLS: Their Structures and Functions,Cells: Their Structures and Functions,7,direct,96 | 113 | 115 | 116 | 118 | 119 | 125,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-05.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-07.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,,,,
3,594,594,18,CELTIC LITERATURE,,,,,,,,,
3,612,612,41,CENTRAL AFRICA,,,,,,,,,
3,653,653,48,CENTRAL AMERICA,,,,,,,,,
3,701,701,15,CENTRAL ASIA,,,,,,,,,
3,716,716,21,CENTRAL ASIAN ARTS,,,,,,,,,
3,737,737,4,CERVANTES,,,,,,,,,
3,741,741,4,CHARLEMAGNE,,,,,,,,,
3,745,745,4,CHAUCER,,,,,,,,,
3,749,749,28,CHEMICAL BONDING,,,,,,,,,
3,777,777,155,CHEMICAL COMPOUNDS,Chemical Compounds,3,direct,28 | 32 | 113,propaedia_pages/part_1/propaedia-2010-part-01-photo-03.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-04.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,,,,
3,932,932,107,CHEMICAL ELEMENTS,Chemical Elements,2,direct,28 | 71,propaedia_pages/part_1/propaedia-2010-part-01-photo-03.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,,,,
3,1039,1039,61,CHEMICAL REACTIONS,Chemical Reactions,1,direct,36,propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg,,,,
3,1100,1100,,CHESS,,,,,,,,,
4,1,1,8,CHICAGO,,,,,,,,,
4,9,9,12,CHILDHOOD DISEASES,,,,,,,,,
4,21,21,15,CHILE,,,,,,,,,
4,36,36,195,CHINA,,,,,,,,,
4,231,231,10,CHINESE LITERATURE,,,,,,,,,
4,241,241,10,CHORDATES,Chordates,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
4,251,251,116,CHRISTIANITY,,,,,,,,,
4,367,367,4,CHUNGKING (CHONGOING),,,,,,,,,
4,371,371,6,CHURCHILL,,,,,,,,,
4,377,377,41,CIRCULATION AND CIRCULATORY SYSTEMS,Circulation and Circulatory Systems,2,direct,119 | 125,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,,,,
4,418,418,7,CIRCUS,,,,,,,,,
4,425,425,11,CITIES,,,,,,,,,
4,436,436,87,CLIMATE AND WEATHER,Climate and Weather,1,direct,78,propaedia_pages/part_2/propaedia-2010-part-02-photo-07.jpg,,,,
4,523,523,6,CNIDARIANS,Cnidarians,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
4,529,529,27,COINS AND COINAGE,,,,,,,,,
4,556,556,12,COLLECTIVE BEHAVIOUR,,,,,,,,,
4,568,568,3,COLOGNE,,,,,,,,,
4,571,571,14,COLOMBIA,,,,,,,,,
4,585,585,10,Biological COLORATION,"Coloration, Biological",2,observed_comma_flip,96 | 97,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,,,,
4,595,595,10,COLOUR,Colour,1,direct,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,,,,
4,605,605,6,COLUMBUS,,,,,,,,,
4,611,611,6,COMMUNICATION,,,,,,,,,
4,617,617,4,COMPUTER CRIME,,,,,,,,,
4,621,621,9,COMPUTER SCIENCE,,,,,,,,,
4,630,630,23,COMPUTERS,,,,,,,,,
4,653,653,10,Confucius and CONFUCIANISM,,,,,,,,,
4,663,663,24,CONSERVATION OF SPECIES,,,,,,,,,
4,687,687,3,CONSTANTINE the Great,,,,,,,,,
4,690,690,5,CONSTITUTION AND CONSTITUTIONAL GOVERNMENT,,,,,,,,,
4,695,695,9,CONSTITUTIONAL LAW,,,,,,,,,
4,704,704,56,CONTINENTAL LANDFORMS,Continental Landforms,2,direct,80 | 84,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,,,,
4,760,760,2,COPERNICUS,,,,,,,,,
4,762,762,34,The Cosmos,"Cosmos, The",2,observed_comma_flip,53 | 55,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,,,,
4,796,796,21,CRIME AND PUNISHMENT,,,,,,,,,
4,817,817,5,CRIMINAL LAW,,,,,,,,,
4,822,822,18,The CRUSADES,,,,,,,,,
4,840,840,20,CRUSTACEANS,Crustaceans,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
4,860,860,14,CRYPTOLOGY,,,,,,,,,
4,874,874,20,The Concept and Components of CULTURE,,,,,,,,,
4,894,894,8,CYPRUS,,,,,,,,,
4,902,902,29,CZECH AND SLOVAK REPUBLICS,,,,,,,,,
4,931,931,4,DAMASCUS,,,,,,,,,
4,935,935,23,The Art of DANCE,,,,,,,,,
4,958,958,13,The History of Western DANCE,,,,,,,,,
4,971,971,6,DANTE,,,,,,,,,
4,977,977,5,DARWIN,Darwin,1,direct,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,,,,
4,982,982,,DEATH,Death,2,direct,128 | 135,propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,,,,
5,1,1,220,DECORATIVE ARTS AND FURNISHINGS,,,,,,,,,
5,221,221,5,DELHI,,,,,,,,,
5,226A,226,1,DEMOCRACY,,,,,,,,,
5,227,227,42,DENMARK,,,,,,,,,
5,269,269,46,DICKENS,,,,,,,,,
5,315,315,15,DINOSAURS,Dinosaurs,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
5,330,330,11,DIPLOMACY,,,,,,,,,
5,341,341,53,DISEASE,Disease,1,direct,135,propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,,,,
5,394,394,46,Religious DOCTRINES AND DOGMAS,,,,,,,,,
5,440,440,11,DOGS,Dogs,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,,,
5,451,451,4,DOSTOYEVSKY,,,,,,,,,
5,455,455,5,DRAFTING,,,,,,,,,
5,460,460,18,DRAWING,,,,,,,,,
5,478,478,51,DRESS AND ADORNMENT,,,,,,,,,
5,529,529,32,DRUGS AND DRUG ACTION,Drugs and Drug Action,1,direct,113,propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,,,,
5,561,561,5,DUBLIN,,,,,,,,,
5,566,566,3,DUTCH LITERATURE,,,,,,,,,
5,569,569,46,"The EARTH: Its Properties, Composition, and Structure","Earth, The: Its Properties, Composition, and Structure",11,observed_comma_article_colon,58 | 66 | 67 | 68 | 71 | 76 | 80 | 84 | 86 | 88 | 89,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,,,,
5,615,615,40,The EARTH SCIENCES,,,,,,,,,
5,655,655,12,EARTHQUAKES,Earthquakes,1,direct,68,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,,,,
5,667,667,105,EAST ASIAN ARTS,,,,,,,,,
5,772,772,66,EASTERN AFRICA,,,,,,,,,
5,838,838,19,EASTERN ORTHODOXY,,,,,,,,,
5,857,857,9,ECHINODERMS,Echinoderms,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
5,866,866,12,"ECLIPSE, OCCULTATION, AND TRANSIT","Eclipse, Occultation, and Transit",1,direct,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,,,,
5,878,878,30,ECONOMIC GROWTH AND PLANNING,,,,,,,,,
5,908,908,8,ECONOMIC SYSTEMS,,,,,,,,,
5,916,916,37,ECONOMIC THEORY,,,,,,,,,
5,953,953,10,ECUADOR,,,,,,,,,
5,963,963,7,EDINBURGH,,,,,,,,,
5,970,970,,EDISON,,,,,,,,,
6,1H,1,90,History of EDUCATION,,,,,,,,,
6,91,91,54,EGYPT,,,,,,,,,
6,145,145,10,Ancient EGYPTIAN ARTS AND ARCHITECTURE,,,,,,,,,
6,155,155,4,EINSTEIN,,,,,,,,,
6,159,159,36,ELECTRICITY AND MAGNETISM,Electricity and Magnetism,2,direct,47 | 116,propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg,,,,
6,195,195,17,ELECTROMAGNETIC RADIATION,Electromagnetic Radiation,2,direct,47 | 50,propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,,,,
6,212,212,3,ELECTRONIC GAMES,,,,,,,,,
6,215,215,28,ELECTRONICS,,,,,,,,,
6,243,243,5,ELIZABETH I of England,,,,,,,,,
6,248,248,9,Human EMoTION,,,,,,,,,
6,257,257,30,ENCYCLOPAEDIAS AND DICTIONARIES,,,,,,,,,
6,287,287,45,ENDOCRINE SYSTEMS,Endocrine Systems,2,direct,119 | 121,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-09.jpg,,,,
6,332,332,82,ENERGY CONVERSION,Energy Conversion,2,direct,44 | 47,propaedia_pages/part_1/propaedia-2010-part-01-photo-08.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg,,,,
6,414,414,12,ENGINEERING,,,,,,,,,
6,426,426,40,ENGLISH LITERATURE,,,,,,,,,
6,466,466,6,ENVIRONMENTALISM AND ENVIRONMENTAL LAW,,,,,,,,,
6,472,472,17,EPISTEMOLOGY,,,,,,,,,
6,489,489,3,ERASMUS,,,,,,,,,
6,492,492,30,ETHICS,,,,,,,,,
6,522,522,68,EUROPE,,,,,,,,,
6,590,590,138,EUROPEAN HISTORY AND CULTURE,,,,,,,,,
6,728,728,35,The History of EUROPEAN OVERSEAS EXPLORATION AND EMPIRES,,,,,,,,,
6,763,763,40,Ancient EUROPEAN RELIGIONS,,,,,,,,,
6,803,803,9,Mount EVEREST,,,,,,,,,
6,812,812,43,Human EVOLUTION,"Evolution, Human",1,observed_comma_flip,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,,,,
6,855,855,,The Theory of EVOLUTION,"Evolution, The Theory of",2,observed_comma_flip,96 | 97,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,,,,
7,1,1,27,EXCRETION AND EXCRETORY SYSTEMS,Excretion and Excretory Systems,2,direct,119 | 125,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,,,,
7,28,28,5,EXERCISE AND PHYSICAL CONDITIONING,,,,,,,,,
7,33,33,26,EXPLORATION,,,,,,,,,
7,59,59,17,FAMILY AND KINSHIP,,,,,,,,,
7,76,76,8,FAMILY LAW,,,,,,,,,
7,84,84,3,FARADAY,,,,,,,,,
7,87,87,73,FArMIng and Agricultural Technology,Farming and Agricultural Technology,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,,,
7,160,160,3,FEMINISM,,,,,,,,,
7,163,163,16,FERNS AND OTHER LOWER VASCULAR PLANTS,Ferns and Other Lower Vascular Plants,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
7,179,179,13,FINLAND,,,,,,,,,
7,192,192,85,FISHES,Fishes,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
7,277,277,17,Commercial FISHING,,,,,,,,,
7,294,294,6,FLATWORMS: Phylum Platyhelminthes,Flatworms: Phylum Platyhelminthes,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
7,300,300,6,FLORENCE,,,,,,,,,
7,306,306,33,FOLK ARTS,,,,,,,,,
7,339,339,68,FOOD PROCESSING,,,,,,,,,
7,407,407,3,Henry FORD,,,,,,,,,
7,410,410,17,FORESTRY AND WOOD PRODUCTION,Forestry and Wood Production,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,,,
7,427,427,104,FRANCE,,,,,,,,,
7,531,531,3,FRANKLIN,,,,,,,,,
7,534,534,5,FREDERICK the Great,,,,,,,,,
7,539,539,27,FRENCH LITERATURE,,,,,,,,,
7,566,566,6,FREUD,,,,,,,,,
7,572,572,25,Fossil FUELS,"Fuels, Fossil",1,observed_comma_flip,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,,,,
7,597,597,14,FUNGI,Fungi,2,direct,96 | 100,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
7,611,611,27,GALAXIES,Galaxies,1,direct,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,,,,
7,638,638,3,GALILEO,,,,,,,,,
7,641,641,7,GAME THEORY,,,,,,,,,
7,648,648,5,GANDHI,,,,,,,,,
7,653,653,17,GARDEN AND LANDSCAPE DESIGN,,,,,,,,,
7,670,670,19,GARDENING AND HORTICULTURE,Gardening and Horticulture,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,,,
7,689,689,8,GASTRONOMY,,,,,,,,,
7,697,697,2,GAUSS,,,,,,,,,
7,699,699,42,The Principles of GENETICS AND HEREDITY,"Genetics and Heredity, The Principles of",2,observed_comma_flip,96 | 129,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-15.jpg,,,,
7,741,741,4,GENEVA,,,,,,,,,
7,745,745,132,GENGHIS KHAN,,,,,,,,,
7,877,877,10,GEOGRAPHY,,,,,,,,,
7,887,887,,GEOMETRY,,,,,,,,,
8,1,1,26,GEOMORPHIC PROCESSES,Geomorphic Processes,1,direct,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,,,,
8,27,27,12,GERMAN LITERATURE,,,,,,,,,
8,39,39,92,GERMANY,,,,,,,,,
8,131,131,2,GLOBAL WARMING,,,,,,,,,
8,133,133,5,GLOBALIZATION AND CULTURE,,,,,,,,,
8,138,138,3,GOETHE,,,,,,,,,
8,141,141,7,The Forms of GovERNMENT: Their Historical Development,,,,,,,,,
8,148,148,12,GOVERNMENT FINANCE,,,,,,,,,
8,160,160,9,GRAPHIC DESIGN,,,,,,,,,
8,169,169,9,GRAVITATION,Gravitation,1,direct,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,,,,
8,178,178,27,GREECE,,,,,,,,,
8,205,205,137,Ancient GREEK AND RoMAN CIVILIZATIONS,,,,,,,,,
8,342,342,10,"The Classical GREEK DRAMATISTS: Aeschylus, Sophocles, Euripides, and Aristophanes",,,,,,,,,
8,352,352,9,GREEK LITERATURE,,,,,,,,,
8,361,361,80,Biological GRowTH AND DevELOPMENT,"Growth and Development, Biological",2,observed_comma_flip,96 | 128,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg,,,,
8,441,441,6,GUYANA,,,,,,,,,
8,447,447,19,GYMNOSPERMS,Gymnosperms,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
8,466,466,6,The House of HABSBURG,,,,,,,,,
8,472,472,3,HAMBURG,,,,,,,,,
8,475A,475,1,HARLEM RENAISSANCE,,,,,,,,,
8,476,476,3,HARVEY,,,,,,,,,
8,479,479,4,HAVANA,,,,,,,,,
8,483,483,4,HEBREW LITERATURE,,,,,,,,,
8,487,487,11,Hegel and HEGELIANISM,,,,,,,,,
8,498,498,2,HEISENBERG,,,,,,,,,
8,500,500,3,HELMHOLTZ,,,,,,,,,
8,503,503,16,HERALDRY,,,,,,,,,
8,519,519,40,HINDUISM,,,,,,,,,
8,559,559,65,The Study of HISTORY,,,,,,,,,
8,624,624,5,HITLER,,,,,,,,,
8,629,629,6,The HOLOCAUST,,,,,,,,,
8,635,635,4,The HOMERIC EPICS,,,,,,,,,
8,639,639,7,HONG KONG,,,,,,,,,
8,646,646,10,HORSES AND HORSEMANSHIP,Horses and Horsemanship,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,,,
8,656,656,9,HUMAN RIGHTS,,,,,,,,,
8,665,665,13,HUMANISM,,,,,,,,,
8,678,678,4,HUME,,,,,,,,,
8,682,682,7,HUMOUR AND WIT,,,,,,,,,
8,689,689,4,HUNGARIAN LITERATURE,,,,,,,,,
8,693,693,22,HUNGARY,,,,,,,,,
8,715,715,17,The HYDROSPHERE,"Hydrosphere, The",1,observed_comma_flip,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,,,,
8,732,732,28,ICE AND ICE FORMATIONS,Ice and Ice Formations,2,direct,76 | 84,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,,,,
8,760,760,8,ICELAND,,,,,,,,,
8,768,768,5,IDEOLOGY,,,,,,,,,
8,773,773,,IMMUNITY,Immunity,1,direct,135,propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,,,,
9,176,176,37,INDIA,,,,,,,,,
9,213,213,33,INDUSTRIAL CERAMICS,,,,,,,,,
9,246,246,20,INDONESIA,,,,,,,,,
