volume_number,start_page_label,macropaedia_contents_name,candidate_count,suggested_propaedia_name,suggested_occurrence_count,suggested_match_methods,suggested_source_pages,suggested_source_images,alternate_propaedia_names
7,192,FISHES,1,Fishes,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
7,294,FLATWORMS: Phylum Platyhelminthes,1,Flatworms: Phylum Platyhelminthes,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
7,410,FORESTRY AND WOOD PRODUCTION,1,Forestry and Wood Production,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,
7,572,Fossil FUELS,1,"Fuels, Fossil",1,observed_comma_flip,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,
7,597,FUNGI,1,Fungi,2,direct,96 | 100,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
7,611,GALAXIES,1,Galaxies,1,direct,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,
7,670,GARDENING AND HORTICULTURE,1,Gardening and Horticulture,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,
7,699,The Principles of GENETICS AND HEREDITY,1,"Genetics and Heredity, The Principles of",2,observed_comma_flip,96 | 129,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-15.jpg,
7,748,GEOCHRONOLOGY: The Interpretation and Dating of the Geologic Record,1,Geochronology: The Interpretation and Dating of the Geologic Record,2,direct,88 | 89,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,
7,87,FARMING and Agricultural Technology,1,Farming and Agricultural Technology,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,
8,1,GEOMORPHIC PROCESSES,1,Geomorphic Processes,1,direct,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,
8,169,GRAVITATION,1,Gravitation,1,direct,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,
8,361,Biological GROWTH AND DEVELOPMENT,1,"Growth and Development, Biological",2,observed_comma_flip,96 | 128,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg,
8,447,GYMNOSPERMS,1,Gymnosperms,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
8,646,HORSES AND HORSEMANSHIP,1,Horses and Horsemanship,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,
8,715,The HYDROSPHERE,1,"Hydrosphere, The",1,observed_comma_flip,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,
8,732,ICE AND ICE FORMATIONS,1,Ice and Ice Formations,2,direct,76 | 84,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,
8,773,IMMUNITY,1,Immunity,1,direct,135,propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,
9,648,INSECTS,1,Insects,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
9,755,INTEGUMENTARY SYSTEMS,1,Integumentary Systems,2,direct,119 | 123,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-10.jpg,
10,531,LAKES,1,Lakes,3,direct,76 | 84 | 137,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,
10,854,Animal LEARNING,1,"Learning, Animal",1,observed_comma_flip,131,propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg,
10,964,LIFE,1,Life,1,direct,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,
11,1,LIGHT,1,Light,1,direct,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,
11,339,MAMMALS,1,Mammals,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
11,612,"MATTER: Its Properties, States, Varieties, and Behaviour",1,"Matter: Its Properties, States, Varieties, and Behaviour",3,direct,39 | 42 | 44,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-07.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-08.jpg,
11,702,"MECHANICS: Energy, Forces, and Their Effects",1,"Mechanics: Energy, Forces, and Their Effects",1,direct,44,propaedia_pages/part_1/propaedia-2010-part-01-photo-08.jpg,
11,893,METABOLISM,1,Metabolism,2,direct,96 | 115,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-05.jpg,
12,144,MIMICRY,1,Mimicry,2,direct,96 | 97,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,
12,162,MINERALS AND ROCKS,1,Minerals and Rocks,3,direct,42 | 67 | 71,propaedia_pages/part_1/propaedia-2010-part-01-photo-07.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,
12,296,MOLLUSKS,1,Mollusks,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
12,365,Moss ANIMALS: Phylum Bryozoa,1,Moss Animals: Phylum Bryozoa,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
12,452,MUSCLES AND MUSCLE SYSTEMS,1,Muscles and Muscle Systems,3,direct,116 | 119 | 123,propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-10.jpg,
12,767,NEBULA,1,Nebula,1,direct,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,
12,784,NERVES AND NERVOUS SYSTEMS,1,Nerves and Nervous Systems,3,direct,116 | 119 | 121,propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-09.jpg,
13,134,OCEANS,1,Oceans,4,direct,76 | 80 | 84 | 137,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,
13,202,Principles of OPTICS,1,"Optics, Principles of",1,observed_comma_flip,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,
13,50,NUTRITION,1,Nutrition,1,direct,124,propaedia_pages/part_3/propaedia-2010-part-03-photo-11.jpg,
13,799,PHOTOSYNTHESIS,1,Photosynthesis,1,direct,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,
13,807,Principles of PHYSICAL SCIENCE,1,"Physical Science, Principles of",1,observed_comma_flip,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,
13,828,The PHYSICAL SCIENCES,1,"Physical Sciences, The",7,observed_comma_flip,22 | 26 | 36 | 39 | 53 | 55 | 58,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,
13,867,PLANTS,1,Plants,3,direct,96 | 100 | 119,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,
13,883,PLATE TECTONICS,1,Plate Tectonics,2,direct,80 | 86,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,
13,908,POISONS AND POISONING,1,Poisons and Poisoning,1,direct,113,propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,
14,268,PROTISTS,1,Protists,2,direct,96 | 100,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
14,279,PROTOZOA,1,Protozoa,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
14,471,RADIATION,1,Radiation,1,direct,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,
14,501,RELATIVITY,1,Relativity,1,direct,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,
14,609,REPRODUCTION AND REPRODUCTIVE SYSTEMS,1,Reproduction and Reproductive Systems,3,direct,96 | 119 | 127,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg,
14,688,REPTILES,1,Reptiles,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
14,725,RESPIRATION AND RESPIRATORY SYSTEMS,1,Respiration and Respiratory Systems,2,direct,119 | 125,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,
14,843,RIVERS,1,Rivers,3,direct,76 | 84 | 137,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,
15,115,SENSORY RECEPTION,1,Sensory Reception,2,direct,96 | 121,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-09.jpg,
15,233,SEX AND SEXUALITY,1,Sex and Sexuality,1,direct,127,propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg,
15,441,SOILS,1,Soils,1,direct,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,
15,452,The SOLAR SYSTEM,1,"Solar System, The",2,observed_comma_flip,58 | 66,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,
15,556,SOUND,1,Sound,1,direct,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,
16,185,STARS AND STAR CLUSTERS,1,Stars and Star Clusters,1,direct,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,
16,236,SUBATOMIC PARTICLES,1,Subatomic Particles,1,direct,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,
16,272,SUPPORTIVE AND CONNECTIVE TISSUES,1,Supportive and Connective Tissues,2,direct,119 | 123,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-10.jpg,
16,619,Principles of THERMODYNAMICS,1,"Thermodynamics, Principles of",1,observed_comma_flip,39,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,
16,903,TREES,1,Trees,1,direct,137,propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,
16,93,SPONGES: Phylum Porifera,1,Sponges: Phylum Porifera,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
17,503,VIRUSES,1,Viruses,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
17,509,VOLCANISM,1,Volcanism,6,direct,67 | 71 | 80 | 84 | 86 | 89,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,
